Coefficient,feature,category,acronym,plot_index
0.03224391748309996,morphology-adverbs-interrogative,morphosyntax,MOR,"(MOR)
morphology-adverbs-interrogative"
0.030671490861939432,morphology-verbs-indicative-simple-conditional,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-simple-conditional"
0.03065593829797164,morphology-adverbs-doubt-or-desire,morphosyntax,MOR,"(MOR)
morphology-adverbs-doubt-or-desire"
0.02826443464577455,morphology-verbs-indicative-compound-present-perfect,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound-present-perfect"
0.02796068823797304,morphology-pronouns-negative,morphosyntax,MOR,"(MOR)
morphology-pronouns-negative"
0.026979493989549574,morphology-interjections,morphosyntax,MOR,"(MOR)
morphology-interjections"
0.023391934973524986,morphology-verbs-indicative-simple-future,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-simple-future"
0.023304505005067977,morphology-nouns-male,morphosyntax,MOR,"(MOR)
morphology-nouns-male"
0.023212531763326716,morphology-verbs-subjunctive-simple-past,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-simple-past"
0.022770768855508106,morphology-verbs-number-plural-second,morphosyntax,MOR,"(MOR)
morphology-verbs-number-plural-second"
0.019372227738069903,morphology-prepositions-locutions,morphosyntax,MOR,"(MOR)
morphology-prepositions-locutions"
0.01917578704427436,morphology-adjectives-superlative,morphosyntax,MOR,"(MOR)
morphology-adjectives-superlative"
0.01808611832984619,morphology-pronouns-personal-gender-male,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-gender-male"
0.017794715527714278,affixes-suffixes-verbalizers,morphosyntax,MOR,"(MOR)
affixes-suffixes-verbalizers"
0.016131014348931938,morphology-adjectives-despective,morphosyntax,MOR,"(MOR)
morphology-adjectives-despective"
0.015931105829866787,morphology-nouns-numerals,morphosyntax,MOR,"(MOR)
morphology-nouns-numerals"
0.01556452087781146,morphology-verbs-tense-future,morphosyntax,MOR,"(MOR)
morphology-verbs-tense-future"
0.015001670625286678,morphology-verbs-number-plural-first,morphosyntax,MOR,"(MOR)
morphology-verbs-number-plural-first"
0.013875331600436525,morphology-nouns-topics-demonyms,morphosyntax,MOR,"(MOR)
morphology-nouns-topics-demonyms"
0.01224795517030941,morphology-pronouns-total,morphosyntax,MOR,"(MOR)
morphology-pronouns-total"
0.011340533827639998,morphology-determiners-emphatic,morphosyntax,MOR,"(MOR)
morphology-determiners-emphatic"
0.01133645251802351,morphology-adverbs-others,morphosyntax,MOR,"(MOR)
morphology-adverbs-others"
0.010011159851680773,morphology-verbs-subjunctive-compound-pluperfect,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-compound-pluperfect"
0.009943956544847143,morphology-verbs-subjunctive-simple-future,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-simple-future"
0.008778327281888654,morphology-verbs-subjunctive-compound,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-compound"
0.008594838269606164,morphology-nouns-dates-dmt,morphosyntax,MOR,"(MOR)
morphology-nouns-dates-dmt"
0.008471884286394893,morphology-nouns-topics-countries,morphosyntax,MOR,"(MOR)
morphology-nouns-topics-countries"
0.007683411216202085,morphology-nouns-dates-textual-days,morphosyntax,MOR,"(MOR)
morphology-nouns-dates-textual-days"
0.007457010202492675,morphology-determiners-negative,morphosyntax,MOR,"(MOR)
morphology-determiners-negative"
0.006983598526428381,morphology-verbs-subjunctive-compound-past-perfect,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-compound-past-perfect"
0.006746290750316852,morphology-verbs-periphrasis-temporal-aspect-phase,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-phase"
0.006715775787524247,morphology-verbs-periphrasis-temporal-aspect-temporal-recent-posteriority,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-temporal-recent-posteriority"
0.006448413352433846,morphology-pronouns-personal-gender-female,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-gender-female"
0.006408212870383956,morphology-verbs-periphrasis-temporal-aspect-temporal-current,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-temporal-current"
0.006382181680759658,morphology-nouns-dates-textual-long,morphosyntax,MOR,"(MOR)
morphology-nouns-dates-textual-long"
0.0060388751148696684,morphology-nouns-dates,morphosyntax,MOR,"(MOR)
morphology-nouns-dates"
0.006008901807908362,morphology-determiners-relative,morphosyntax,MOR,"(MOR)
morphology-determiners-relative"
0.005226158046129026,morphology-verbs-periphrasis-temporal-aspect-temporal-ending,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-temporal-ending"
0.004896819225111315,morphology-verbs-periphrasis-temporal-aspect-temporal-transitional,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-temporal-transitional"
0.00486619945068556,gender-words-common,morphosyntax,MOR,"(MOR)
gender-words-common"
0.00435009596929925,morphology-verbs-periphrasis-temporal-aspect-temporal-habit,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-temporal-habit"
0.00395234222096974,morphology-verbs-periphrasis-modals-obligation,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-modals-obligation"
0.003526244670959855,morphology-verbs-indicative-compound-future-perfect,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound-future-perfect"
0.0033364607842432115,morphology-nouns-topics-capitals,morphosyntax,MOR,"(MOR)
morphology-nouns-topics-capitals"
0.003236713374742184,morphology-verbs-periphrasis,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis"
0.003116500021866919,morphology-nouns-dates-mdy,morphosyntax,MOR,"(MOR)
morphology-nouns-dates-mdy"
0.002957766774128512,morphology-verbs-periphrasis-temporal-aspect-temporal-initial,morphosyntax,MOR,"(MOR)
morphology-verbs-periphrasis-temporal-aspect-temporal-initial"
0.002657098768659605,gender-words-neutral,morphosyntax,MOR,"(MOR)
gender-words-neutral"
0.002636480944848252,morphology-nouns-dates-ymd,morphosyntax,MOR,"(MOR)
morphology-nouns-dates-ymd"
0.0023571100835768632,morphology-verbs-indicative-compound-pluperfect,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound-pluperfect"
0.002302513487357327,morphology-nouns-dates-textual-short,morphosyntax,MOR,"(MOR)
morphology-nouns-dates-textual-short"
0.002131985773337064,morphology-verbs-indicative-compound-conditional-perfect,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound-conditional-perfect"
0.0018541859721667997,morphology-nouns-topics-colors,morphosyntax,MOR,"(MOR)
morphology-nouns-topics-colors"
0.0015301688527751267,morphology-determiners-reciprocal,morphosyntax,MOR,"(MOR)
morphology-determiners-reciprocal"
0.00046057225421414216,morphology-pronouns-relative,morphosyntax,MOR,"(MOR)
morphology-pronouns-relative"
0.00039292681371660976,morphology-pronouns-reciprocal,morphosyntax,MOR,"(MOR)
morphology-pronouns-reciprocal"
